REF_DATE,GEO,Custodial and community admissions,VALUE
2003/2004,Northwest Territories,Unknown community admissions,
2003/2004,Nunavut,Total custodial admissions,510
2003/2004,Nunavut,Sentenced,281
2003/2004,Nunavut,Remand,229
2003/2004,Nunavut,Total community admissions,586
2003/2004,Nunavut,Probation and conditional sentences,375
2003/2004,Nunavut,Probation,263
2003/2004,Nunavut,Conditional sentence,112
2003/2004,Nunavut,Other community programs,207
2003/2004,Nunavut,Unknown community admissions,4
2004/2005,All Provinces and territories,Total custodial admissions,204589
2004/2005,All Provinces and territories,Sentenced,63013
2004/2005,All Provinces and territories,Remand,115430
2004/2005,All Provinces and territories,Other custodial statuses,26146
2004/2005,All Provinces and territories,Total community admissions,135375
2004/2005,All Provinces and territories,Probation and conditional sentences,98630
2004/2005,All Provinces and territories,Probation,79798
2004/2005,All Provinces and territories,Conditional sentence,18832
2004/2005,All Provinces and territories,Other community programs,36741
2004/2005,All Provinces and territories,Unknown community admissions,4
2004/2005,Newfoundland and Labrador,Total custodial admissions,1680
2004/2005,Newfoundland and Labrador,Sentenced,1085
2004/2005,Newfoundland and Labrador,Remand,495
2004/2005,Newfoundland and Labrador,Other custodial statuses,100
2004/2005,Newfoundland and Labrador,Total community admissions,2111
2004/2005,Newfoundland and Labrador,Probation and conditional sentences,2111
2004/2005,Newfoundland and Labrador,Probation,1702
2004/2005,Newfoundland and Labrador,Conditional sentence,409
2004/2005,Newfoundland and Labrador,Other community programs,0
2004/2005,Newfoundland and Labrador,Unknown community admissions,0
2004/2005,Prince Edward Island,Total custodial admissions,
2004/2005,Prince Edward Island,Sentenced,
2004/2005,Prince Edward Island,Remand,
2004/2005,Prince Edward Island,Other custodial statuses,
2004/2005,Prince Edward Island,Total community admissions,
2004/2005,Prince Edward Island,Probation and conditional sentences,
2004/2005,Prince Edward Island,Probation,
2004/2005,Prince Edward Island,Conditional sentence,
2004/2005,Prince Edward Island,Other community programs,
2004/2005,Prince Edward Island,Unknown community admissions,
2004/2005,Nova Scotia,Total custodial admissions,4426
2004/2005,Nova Scotia,Sentenced,1943
2004/2005,Nova Scotia,Remand,2196
2004/2005,Nova Scotia,Other custodial statuses,287
2004/2005,Nova Scotia,Total community admissions,5483
2004/2005,Nova Scotia,Probation and conditional sentences,3916
2004/2005,Nova Scotia,Probation,3213
2004/2005,Nova Scotia,Conditional sentence,703
2004/2005,Nova Scotia,Other community programs,1567
2004/2005,Nova Scotia,Unknown community admissions,0
2004/2005,New Brunswick,Total custodial admissions,4520
2004/2005,New Brunswick,Sentenced,2382
2004/2005,New Brunswick,Remand,1543
2004/2005,New Brunswick,Other custodial statuses,595
2004/2005,New Brunswick,Total community admissions,3229
2004/2005,New Brunswick,Probation and conditional sentences,2418
2004/2005,New Brunswick,Probation,1786
2004/2005,New Brunswick,Conditional sentence,632
