REF_DATE,GEO,Custodial and community admissions,VALUE
2017/2018,Manitoba,Probation,7987
2017/2018,Manitoba,Conditional sentence,689
2017/2018,Manitoba,Other community programs,1341
2017/2018,Manitoba,Unknown community admissions,0
2017/2018,Saskatchewan,Total custodial admissions,13304
2017/2018,Saskatchewan,Sentenced,4660
2017/2018,Saskatchewan,Remand,8374
2017/2018,Saskatchewan,Other custodial statuses,270
2017/2018,Saskatchewan,Total community admissions,10582
2017/2018,Saskatchewan,Probation and conditional sentences,6686
2017/2018,Saskatchewan,Probation,5115
2017/2018,Saskatchewan,Conditional sentence,1571
2017/2018,Saskatchewan,Other community programs,3896
2017/2018,Saskatchewan,Unknown community admissions,0
2017/2018,Alberta,Total custodial admissions,44105
2017/2018,Alberta,Sentenced,18419
2017/2018,Alberta,Remand,23812
2017/2018,Alberta,Other custodial statuses,1874
2017/2018,Alberta,Total community admissions,31269
2017/2018,Alberta,Probation and conditional sentences,9596
2017/2018,Alberta,Probation,8595
2017/2018,Alberta,Conditional sentence,1001
2017/2018,Alberta,Other community programs,21673
2017/2018,Alberta,Unknown community admissions,0
2017/2018,British Columbia,Total custodial admissions,25976
2017/2018,British Columbia,Sentenced,10534
2017/2018,British Columbia,Remand,14089
2017/2018,British Columbia,Other custodial statuses,1353
2017/2018,British Columbia,Total community admissions,29141
2017/2018,British Columbia,Probation and conditional sentences,10554
2017/2018,British Columbia,Probation,8656
2017/2018,British Columbia,Conditional sentence,1898
2017/2018,British Columbia,Other community programs,18587
2017/2018,British Columbia,Unknown community admissions,0
2017/2018,Yukon,Total custodial admissions,476
2017/2018,Yukon,Sentenced,162
2017/2018,Yukon,Remand,308
2017/2018,Yukon,Other custodial statuses,6
2017/2018,Yukon,Total community admissions,1049
2017/2018,Yukon,Probation and conditional sentences,348
2017/2018,Yukon,Probation,271
2017/2018,Yukon,Conditional sentence,77
2017/2018,Yukon,Other community programs,701
2017/2018,Yukon,Unknown community admissions,0
2017/2018,Northwest Territories,Total custodial admissions,1073
2017/2018,Northwest Territories,Sentenced,356
2017/2018,Northwest Territories,Remand,717
2017/2018,Northwest Territories,Other custodial statuses,0
2017/2018,Northwest Territories,Total community admissions,596
2017/2018,Northwest Territories,Probation and conditional sentences,393
2017/2018,Northwest Territories,Probation,339
2017/2018,Northwest Territories,Conditional sentence,54
2017/2018,Northwest Territories,Other community programs,203
2017/2018,Northwest Territories,Unknown community admissions,0
2017/2018,Nunavut,Total custodial admissions,982
2017/2018,Nunavut,Sentenced,415
2017/2018,Nunavut,Remand,567
2017/2018,Nunavut,Other custodial statuses,
2017/2018,Nunavut,Total community admissions,900
2017/2018,Nunavut,Probation and conditional sentences,185
2017/2018,Nunavut,Probation,135
2017/2018,Nunavut,Conditional sentence,50
2017/2018,Nunavut,Other community programs,714
2017/2018,Nunavut,Unknown community admissions,1
2018/2019,All Provinces and territories,Total custodial admissions,226048
2018/2019,All Provinces and territories,Sentenced,72312
2018/2019,All Provinces and territories,Remand,133267
2018/2019,All Provinces and territories,Other custodial statuses,20469
2018/2019,All Provinces and territories,Total community admissions,142773
2018/2019,All Provinces and territories,Probation and conditional sentences,81367
2018/2019,All Provinces and territories,Probation,70107
2018/2019,All Provinces and territories,Conditional sentence,11260
2018/2019,All Provinces and territories,Other community programs,61403
2018/2019,All Provinces and territories,Unknown community admissions,3
2018/2019,Newfoundland and Labrador,Total custodial admissions,1776
2018/2019,Newfoundland and Labrador,Sentenced,801
2018/2019,Newfoundland and Labrador,Remand,838
2018/2019,Newfoundland and Labrador,Other custodial statuses,137
2018/2019,Newfoundland and Labrador,Total community admissions,1491
2018/2019,Newfoundland and Labrador,Probation and conditional sentences,1491
2018/2019,Newfoundland and Labrador,Probation,1147
2018/2019,Newfoundland and Labrador,Conditional sentence,344
2018/2019,Newfoundland and Labrador,Other community programs,0
2018/2019,Newfoundland and Labrador,Unknown community admissions,0
2018/2019,Prince Edward Island,Total custodial admissions,769
2018/2019,Prince Edward Island,Sentenced,482
2018/2019,Prince Edward Island,Remand,284
2018/2019,Prince Edward Island,Other custodial statuses,3
2018/2019,Prince Edward Island,Total community admissions,1034
2018/2019,Prince Edward Island,Probation and conditional sentences,855
2018/2019,Prince Edward Island,Probation,835
2018/2019,Prince Edward Island,Conditional sentence,20
2018/2019,Prince Edward Island,Other community programs,179
2018/2019,Prince Edward Island,Unknown community admissions,0
2018/2019,Nova Scotia,Total custodial admissions,4695
2018/2019,Nova Scotia,Sentenced,1153
2018/2019,Nova Scotia,Remand,3276
2018/2019,Nova Scotia,Other custodial statuses,266
2018/2019,Nova Scotia,Total community admissions,2839
2018/2019,Nova Scotia,Probation and conditional sentences,2839
2018/2019,Nova Scotia,Probation,2368
2018/2019,Nova Scotia,Conditional sentence,471
2018/2019,Nova Scotia,Other community programs,0
2018/2019,Nova Scotia,Unknown community admissions,0
2018/2019,New Brunswick,Total custodial admissions,5748
2018/2019,New Brunswick,Sentenced,2492
2018/2019,New Brunswick,Remand,2557
2018/2019,New Brunswick,Other custodial statuses,699
2018/2019,New Brunswick,Total community admissions,2277
2018/2019,New Brunswick,Probation and conditional sentences,2113
2018/2019,New Brunswick,Probation,1625
2018/2019,New Brunswick,Conditional sentence,488
2018/2019,New Brunswick,Other community programs,164
2018/2019,New Brunswick,Unknown community admissions,0
2018/2019,Quebec,Total custodial admissions,43094
2018/2019,Quebec,Sentenced,11933
2018/2019,Quebec,Remand,27800
2018/2019,Quebec,Other custodial statuses,3361
2018/2019,Quebec,Total community admissions,24632
2018/2019,Quebec,Probation and conditional sentences,11347
2018/2019,Quebec,Probation,9744
2018/2019,Quebec,Conditional sentence,1603
2018/2019,Quebec,Other community programs,13285
2018/2019,Quebec,Unknown community admissions,0
2018/2019,Ontario,Total custodial admissions,64818
2018/2019,Ontario,Sentenced,18905
2018/2019,Ontario,Remand,41131
2018/2019,Ontario,Other custodial statuses,4782
2018/2019,Ontario,Total community admissions,29350
2018/2019,Ontario,Probation and conditional sentences,28605
2018/2019,Ontario,Probation,25118
2018/2019,Ontario,Conditional sentence,3487
2018/2019,Ontario,Other community programs,745
2018/2019,Ontario,Unknown community admissions,0
2018/2019,Manitoba,Total custodial admissions,28141
2018/2019,Manitoba,Sentenced,6605
2018/2019,Manitoba,Remand,13925
2018/2019,Manitoba,Other custodial statuses,7611
2018/2019,Manitoba,Total community admissions,9183
2018/2019,Manitoba,Probation and conditional sentences,7992
2018/2019,Manitoba,Probation,7354
2018/2019,Manitoba,Conditional sentence,638
2018/2019,Manitoba,Other community programs,1191
2018/2019,Manitoba,Unknown community admissions,0
2018/2019,Saskatchewan,Total custodial admissions,13160
2018/2019,Saskatchewan,Sentenced,4557
2018/2019,Saskatchewan,Remand,8369
2018/2019,Saskatchewan,Other custodial statuses,234
2018/2019,Saskatchewan,Total community admissions,10279
2018/2019,Saskatchewan,Probation and conditional sentences,6151
2018/2019,Saskatchewan,Probation,4686
2018/2019,Saskatchewan,Conditional sentence,1465
2018/2019,Saskatchewan,Other community programs,4128
2018/2019,Saskatchewan,Unknown community admissions,0
2018/2019,Alberta,Total custodial admissions,37485
2018/2019,Alberta,Sentenced,15208
2018/2019,Alberta,Remand,20273
2018/2019,Alberta,Other custodial statuses,2004
2018/2019,Alberta,Total community admissions,31805
2018/2019,Alberta,Probation and conditional sentences,9328
2018/2019,Alberta,Probation,8402
2018/2019,Alberta,Conditional sentence,926
2018/2019,Alberta,Other community programs,22477
2018/2019,Alberta,Unknown community admissions,0
2018/2019,British Columbia,Total custodial admissions,23432
2018/2019,British Columbia,Sentenced,9144
2018/2019,British Columbia,Remand,12934
2018/2019,British Columbia,Other custodial statuses,1354
2018/2019,British Columbia,Total community admissions,27220
2018/2019,British Columbia,Probation and conditional sentences,9716
2018/2019,British Columbia,Probation,8066
2018/2019,British Columbia,Conditional sentence,1650
2018/2019,British Columbia,Other community programs,17504
2018/2019,British Columbia,Unknown community admissions,0
2018/2019,Yukon,Total custodial admissions,424
2018/2019,Yukon,Sentenced,127
2018/2019,Yukon,Remand,297
2018/2019,Yukon,Other custodial statuses,0
2018/2019,Yukon,Total community admissions,973
2018/2019,Yukon,Probation and conditional sentences,316
2018/2019,Yukon,Probation,237
2018/2019,Yukon,Conditional sentence,79
2018/2019,Yukon,Other community programs,657
2018/2019,Yukon,Unknown community admissions,0
2018/2019,Northwest Territories,Total custodial admissions,1031
2018/2019,Northwest Territories,Sentenced,361
2018/2019,Northwest Territories,Remand,670
2018/2019,Northwest Territories,Other custodial statuses,0
2018/2019,Northwest Territories,Total community admissions,677
2018/2019,Northwest Territories,Probation and conditional sentences,371
2018/2019,Northwest Territories,Probation,327
2018/2019,Northwest Territories,Conditional sentence,44
2018/2019,Northwest Territories,Other community programs,306
2018/2019,Northwest Territories,Unknown community admissions,0
2018/2019,Nunavut,Total custodial admissions,1475
2018/2019,Nunavut,Sentenced,544
2018/2019,Nunavut,Remand,913
2018/2019,Nunavut,Other custodial statuses,18
2018/2019,Nunavut,Total community admissions,1013
2018/2019,Nunavut,Probation and conditional sentences,243
2018/2019,Nunavut,Probation,198
2018/2019,Nunavut,Conditional sentence,45
2018/2019,Nunavut,Other community programs,767
2018/2019,Nunavut,Unknown community admissions,3
2019/2020,All Provinces and territories,Total custodial admissions,227124
2019/2020,All Provinces and territories,Sentenced,64948
2019/2020,All Provinces and territories,Remand,127382
2019/2020,All Provinces and territories,Other custodial statuses,34794
2019/2020,All Provinces and territories,Total community admissions,133258
2019/2020,All Provinces and territories,Probation and conditional sentences,78579
2019/2020,All Provinces and territories,Probation,67573
2019/2020,All Provinces and territories,Conditional sentence,11006
2019/2020,All Provinces and territories,Other community programs,54677
2019/2020,All Provinces and territories,Unknown community admissions,2
2019/2020,Newfoundland and Labrador,Total custodial admissions,1673
2019/2020,Newfoundland and Labrador,Sentenced,652
2019/2020,Newfoundland and Labrador,Remand,922
2019/2020,Newfoundland and Labrador,Other custodial statuses,99
2019/2020,Newfoundland and Labrador,Total community admissions,1360
2019/2020,Newfoundland and Labrador,Probation and conditional sentences,1360
2019/2020,Newfoundland and Labrador,Probation,1068
2019/2020,Newfoundland and Labrador,Conditional sentence,292
2019/2020,Newfoundland and Labrador,Other community programs,0
2019/2020,Newfoundland and Labrador,Unknown community admissions,0
2019/2020,Prince Edward Island,Total custodial admissions,786
2019/2020,Prince Edward Island,Sentenced,517
2019/2020,Prince Edward Island,Remand,263
2019/2020,Prince Edward Island,Other custodial statuses,6
2019/2020,Prince Edward Island,Total community admissions,1027
2019/2020,Prince Edward Island,Probation and conditional sentences,867
2019/2020,Prince Edward Island,Probation,839
2019/2020,Prince Edward Island,Conditional sentence,28
2019/2020,Prince Edward Island,Other community programs,160
2019/2020,Prince Edward Island,Unknown community admissions,0
2019/2020,Nova Scotia,Total custodial admissions,4331
2019/2020,Nova Scotia,Sentenced,1017
2019/2020,Nova Scotia,Remand,3044
2019/2020,Nova Scotia,Other custodial statuses,270
2019/2020,Nova Scotia,Total community admissions,2613
2019/2020,Nova Scotia,Probation and conditional sentences,2613
2019/2020,Nova Scotia,Probation,2140
2019/2020,Nova Scotia,Conditional sentence,473
2019/2020,Nova Scotia,Other community programs,0
2019/2020,Nova Scotia,Unknown community admissions,0
2019/2020,New Brunswick,Total custodial admissions,5232
2019/2020,New Brunswick,Sentenced,2131
2019/2020,New Brunswick,Remand,2287
2019/2020,New Brunswick,Other custodial statuses,814
2019/2020,New Brunswick,Total community admissions,2354
2019/2020,New Brunswick,Probation and conditional sentences,2155
2019/2020,New Brunswick,Probation,1664
2019/2020,New Brunswick,Conditional sentence,491
2019/2020,New Brunswick,Other community programs,199
2019/2020,New Brunswick,Unknown community admissions,0
2019/2020,Quebec,Total custodial admissions,39817
2019/2020,Quebec,Sentenced,11137
2019/2020,Quebec,Remand,26236
2019/2020,Quebec,Other custodial statuses,2444
2019/2020,Quebec,Total community admissions,21267
2019/2020,Quebec,Probation and conditional sentences,10086
2019/2020,Quebec,Probation,8803
2019/2020,Quebec,Conditional sentence,1283
2019/2020,Quebec,Other community programs,11181
2019/2020,Quebec,Unknown community admissions,0
2019/2020,Ontario,Total custodial admissions,79944
2019/2020,Ontario,Sentenced,17822
2019/2020,Ontario,Remand,42629
2019/2020,Ontario,Other custodial statuses,19493
2019/2020,Ontario,Total community admissions,29409
2019/2020,Ontario,Probation and conditional sentences,29007
2019/2020,Ontario,Probation,25567
2019/2020,Ontario,Conditional sentence,3440
2019/2020,Ontario,Other community programs,402
2019/2020,Ontario,Unknown community admissions,0
2019/2020,Manitoba,Total custodial admissions,27962
2019/2020,Manitoba,Sentenced,6445
2019/2020,Manitoba,Remand,13668
2019/2020,Manitoba,Other custodial statuses,7849
2019/2020,Manitoba,Total community admissions,8360
2019/2020,Manitoba,Probation and conditional sentences,7322
2019/2020,Manitoba,Probation,6694
2019/2020,Manitoba,Conditional sentence,628
2019/2020,Manitoba,Other community programs,1038
2019/2020,Manitoba,Unknown community admissions,0
2019/2020,Saskatchewan,Total custodial admissions,12779
2019/2020,Saskatchewan,Sentenced,4242
2019/2020,Saskatchewan,Remand,8290
2019/2020,Saskatchewan,Other custodial statuses,247
2019/2020,Saskatchewan,Total community admissions,10532
2019/2020,Saskatchewan,Probation and conditional sentences,6008
2019/2020,Saskatchewan,Probation,4538
2019/2020,Saskatchewan,Conditional sentence,1470
2019/2020,Saskatchewan,Other community programs,4524
2019/2020,Saskatchewan,Unknown community admissions,0
2019/2020,Alberta,Total custodial admissions,31366
2019/2020,Alberta,Sentenced,13047
2019/2020,Alberta,Remand,16203
2019/2020,Alberta,Other custodial statuses,2116
2019/2020,Alberta,Total community admissions,27465
2019/2020,Alberta,Probation and conditional sentences,9007
2019/2020,Alberta,Probation,7938
2019/2020,Alberta,Conditional sentence,1069
2019/2020,Alberta,Other community programs,18458
2019/2020,Alberta,Unknown community admissions,0
2019/2020,British Columbia,Total custodial admissions,20634
2019/2020,British Columbia,Sentenced,7162
2019/2020,British Columbia,Remand,12017
2019/2020,British Columbia,Other custodial statuses,1455
2019/2020,British Columbia,Total community admissions,26165
2019/2020,British Columbia,Probation and conditional sentences,9037
2019/2020,British Columbia,Probation,7414
2019/2020,British Columbia,Conditional sentence,1623
2019/2020,British Columbia,Other community programs,17128
2019/2020,British Columbia,Unknown community admissions,0
2019/2020,Yukon,Total custodial admissions,373
2019/2020,Yukon,Sentenced,76
2019/2020,Yukon,Remand,296
2019/2020,Yukon,Other custodial statuses,1
2019/2020,Yukon,Total community admissions,1060
2019/2020,Yukon,Probation and conditional sentences,279
2019/2020,Yukon,Probation,206
2019/2020,Yukon,Conditional sentence,73
2019/2020,Yukon,Other community programs,781
2019/2020,Yukon,Unknown community admissions,0
2019/2020,Northwest Territories,Total custodial admissions,1093
2019/2020,Northwest Territories,Sentenced,273
2019/2020,Northwest Territories,Remand,820
2019/2020,Northwest Territories,Other custodial statuses,0
2019/2020,Northwest Territories,Total community admissions,769
2019/2020,Northwest Territories,Probation and conditional sentences,371
2019/2020,Northwest Territories,Probation,323
2019/2020,Northwest Territories,Conditional sentence,48
2019/2020,Northwest Territories,Other community programs,398
2019/2020,Northwest Territories,Unknown community admissions,0
2019/2020,Nunavut,Total custodial admissions,1134
2019/2020,Nunavut,Sentenced,427
2019/2020,Nunavut,Remand,707
2019/2020,Nunavut,Other custodial statuses,0
2019/2020,Nunavut,Total community admissions,877
2019/2020,Nunavut,Probation and conditional sentences,467
2019/2020,Nunavut,Probation,379
2019/2020,Nunavut,Conditional sentence,88
2019/2020,Nunavut,Other community programs,408
2019/2020,Nunavut,Unknown community admissions,2
2020/2021,All Provinces and territories,Total custodial admissions,143975
2020/2021,All Provinces and territories,Sentenced,35562
2020/2021,All Provinces and territories,Remand,89643
2020/2021,All Provinces and territories,Other custodial statuses,18770
2020/2021,All Provinces and territories,Total community admissions,94174
2020/2021,All Provinces and territories,Probation and conditional sentences,56440
2020/2021,All Provinces and territories,Probation,45930
2020/2021,All Provinces and territories,Conditional sentence,10510
2020/2021,All Provinces and territories,Other community programs,37729
2020/2021,All Provinces and territories,Unknown community admissions,5
2020/2021,Newfoundland and Labrador,Total custodial admissions,1390
2020/2021,Newfoundland and Labrador,Sentenced,430
2020/2021,Newfoundland and Labrador,Remand,864
2020/2021,Newfoundland and Labrador,Other custodial statuses,96
2020/2021,Newfoundland and Labrador,Total community admissions,916
2020/2021,Newfoundland and Labrador,Probation and conditional sentences,916
2020/2021,Newfoundland and Labrador,Probation,695
2020/2021,Newfoundland and Labrador,Conditional sentence,221
2020/2021,Newfoundland and Labrador,Other community programs,0
2020/2021,Newfoundland and Labrador,Unknown community admissions,0
2020/2021,Prince Edward Island,Total custodial admissions,661
2020/2021,Prince Edward Island,Sentenced,379
2020/2021,Prince Edward Island,Remand,273
2020/2021,Prince Edward Island,Other custodial statuses,9
2020/2021,Prince Edward Island,Total community admissions,822
2020/2021,Prince Edward Island,Probation and conditional sentences,633
2020/2021,Prince Edward Island,Probation,572
2020/2021,Prince Edward Island,Conditional sentence,61
2020/2021,Prince Edward Island,Other community programs,189
2020/2021,Prince Edward Island,Unknown community admissions,0
2020/2021,Nova Scotia,Total custodial admissions,3326
2020/2021,Nova Scotia,Sentenced,577
2020/2021,Nova Scotia,Remand,2531
2020/2021,Nova Scotia,Other custodial statuses,218
2020/2021,Nova Scotia,Total community admissions,2145
2020/2021,Nova Scotia,Probation and conditional sentences,2145
2020/2021,Nova Scotia,Probation,1656
2020/2021,Nova Scotia,Conditional sentence,489
2020/2021,Nova Scotia,Other community programs,0
2020/2021,Nova Scotia,Unknown community admissions,0
2020/2021,New Brunswick,Total custodial admissions,3724
2020/2021,New Brunswick,Sentenced,1354
2020/2021,New Brunswick,Remand,1913
2020/2021,New Brunswick,Other custodial statuses,457
2020/2021,New Brunswick,Total community admissions,1633
2020/2021,New Brunswick,Probation and conditional sentences,1557
2020/2021,New Brunswick,Probation,1189
2020/2021,New Brunswick,Conditional sentence,368
2020/2021,New Brunswick,Other community programs,76
2020/2021,New Brunswick,Unknown community admissions,0
2020/2021,Quebec,Total custodial admissions,22182
2020/2021,Quebec,Sentenced,4792
2020/2021,Quebec,Remand,17388
2020/2021,Quebec,Other custodial statuses,2
2020/2021,Quebec,Total community admissions,15729
2020/2021,Quebec,Probation and conditional sentences,7736
2020/2021,Quebec,Probation,6561
2020/2021,Quebec,Conditional sentence,1175
2020/2021,Quebec,Other community programs,7993
2020/2021,Quebec,Unknown community admissions,0
2020/2021,Ontario,Total custodial admissions,54087
2020/2021,Ontario,Sentenced,9020
2020/2021,Ontario,Remand,30331
2020/2021,Ontario,Other custodial statuses,14736
2020/2021,Ontario,Total community admissions,19362
2020/2021,Ontario,Probation and conditional sentences,19076
2020/2021,Ontario,Probation,15487
2020/2021,Ontario,Conditional sentence,3589
2020/2021,Ontario,Other community programs,286
2020/2021,Ontario,Unknown community admissions,0
2020/2021,Manitoba,Total custodial admissions,12073
2020/2021,Manitoba,Sentenced,4206
2020/2021,Manitoba,Remand,7587
2020/2021,Manitoba,Other custodial statuses,280
2020/2021,Manitoba,Total community admissions,6067
2020/2021,Manitoba,Probation and conditional sentences,5450
2020/2021,Manitoba,Probation,4958
2020/2021,Manitoba,Conditional sentence,492
2020/2021,Manitoba,Other community programs,617
2020/2021,Manitoba,Unknown community admissions,0
2020/2021,Saskatchewan,Total custodial admissions,10726
2020/2021,Saskatchewan,Sentenced,3018
2020/2021,Saskatchewan,Remand,7431
2020/2021,Saskatchewan,Other custodial statuses,277
2020/2021,Saskatchewan,Total community admissions,8739
2020/2021,Saskatchewan,Probation and conditional sentences,4602
2020/2021,Saskatchewan,Probation,3407
2020/2021,Saskatchewan,Conditional sentence,1195
2020/2021,Saskatchewan,Other community programs,4137
2020/2021,Saskatchewan,Unknown community admissions,0
2020/2021,Alberta,Total custodial admissions,21843
2020/2021,Alberta,Sentenced,7903
2020/2021,Alberta,Remand,12131
2020/2021,Alberta,Other custodial statuses,1809
2020/2021,Alberta,Total community admissions,17432
2020/2021,Alberta,Probation and conditional sentences,6809
2020/2021,Alberta,Probation,5556
2020/2021,Alberta,Conditional sentence,1253
2020/2021,Alberta,Other community programs,10623
2020/2021,Alberta,Unknown community admissions,0
2020/2021,British Columbia,Total custodial admissions,11051
2020/2021,British Columbia,Sentenced,3284
2020/2021,British Columbia,Remand,6884
2020/2021,British Columbia,Other custodial statuses,883
2020/2021,British Columbia,Total community admissions,18996
2020/2021,British Columbia,Probation and conditional sentences,6600
2020/2021,British Columbia,Probation,5131
2020/2021,British Columbia,Conditional sentence,1469
2020/2021,British Columbia,Other community programs,12396
2020/2021,British Columbia,Unknown community admissions,0
2020/2021,Yukon,Total custodial admissions,439
2020/2021,Yukon,Sentenced,93
2020/2021,Yukon,Remand,343
2020/2021,Yukon,Other custodial statuses,3
2020/2021,Yukon,Total community admissions,1032
2020/2021,Yukon,Probation and conditional sentences,255
2020/2021,Yukon,Probation,177
2020/2021,Yukon,Conditional sentence,78
2020/2021,Yukon,Other community programs,777
2020/2021,Yukon,Unknown community admissions,0
2020/2021,Northwest Territories,Total custodial admissions,641
2020/2021,Northwest Territories,Sentenced,168
2020/2021,Northwest Territories,Remand,473
2020/2021,Northwest Territories,Other custodial statuses,0
2020/2021,Northwest Territories,Total community admissions,641
2020/2021,Northwest Territories,Probation and conditional sentences,275
2020/2021,Northwest Territories,Probation,223
2020/2021,Northwest Territories,Conditional sentence,52
2020/2021,Northwest Territories,Other community programs,366
2020/2021,Northwest Territories,Unknown community admissions,0
2020/2021,Nunavut,Total custodial admissions,1832
2020/2021,Nunavut,Sentenced,338
2020/2021,Nunavut,Remand,1494
2020/2021,Nunavut,Other custodial statuses,0
2020/2021,Nunavut,Total community admissions,660
2020/2021,Nunavut,Probation and conditional sentences,386
2020/2021,Nunavut,Probation,318
2020/2021,Nunavut,Conditional sentence,68
2020/2021,Nunavut,Other community programs,269
2020/2021,Nunavut,Unknown community admissions,5
2021/2022,All Provinces and territories,Total custodial admissions,149921
2021/2022,All Provinces and territories,Sentenced,37932
2021/2022,All Provinces and territories,Remand,92673
2021/2022,All Provinces and territories,Other custodial statuses,19316
2021/2022,All Provinces and territories,Total community admissions,108289
2021/2022,All Provinces and territories,Probation and conditional sentences,68184
2021/2022,All Provinces and territories,Probation,54493
2021/2022,All Provinces and territories,Conditional sentence,13691
2021/2022,All Provinces and territories,Other community programs,40105
2021/2022,All Provinces and territories,Unknown community admissions,0
2021/2022,Newfoundland and Labrador,Total custodial admissions,1489
2021/2022,Newfoundland and Labrador,Sentenced,446
2021/2022,Newfoundland and Labrador,Remand,935
2021/2022,Newfoundland and Labrador,Other custodial statuses,108
2021/2022,Newfoundland and Labrador,Total community admissions,1188
2021/2022,Newfoundland and Labrador,Probation and conditional sentences,1188
2021/2022,Newfoundland and Labrador,Probation,854
2021/2022,Newfoundland and Labrador,Conditional sentence,334
2021/2022,Newfoundland and Labrador,Other community programs,0
2021/2022,Newfoundland and Labrador,Unknown community admissions,0
2021/2022,Prince Edward Island,Total custodial admissions,595
2021/2022,Prince Edward Island,Sentenced,336
2021/2022,Prince Edward Island,Remand,255
2021/2022,Prince Edward Island,Other custodial statuses,4
2021/2022,Prince Edward Island,Total community admissions,646
2021/2022,Prince Edward Island,Probation and conditional sentences,476
2021/2022,Prince Edward Island,Probation,449
2021/2022,Prince Edward Island,Conditional sentence,27
2021/2022,Prince Edward Island,Other community programs,170
2021/2022,Prince Edward Island,Unknown community admissions,0
2021/2022,Nova Scotia,Total custodial admissions,3213
2021/2022,Nova Scotia,Sentenced,558
2021/2022,Nova Scotia,Remand,2507
2021/2022,Nova Scotia,Other custodial statuses,148
2021/2022,Nova Scotia,Total community admissions,2343
2021/2022,Nova Scotia,Probation and conditional sentences,2343
2021/2022,Nova Scotia,Probation,1845
2021/2022,Nova Scotia,Conditional sentence,498
2021/2022,Nova Scotia,Other community programs,0
2021/2022,Nova Scotia,Unknown community admissions,0
2021/2022,New Brunswick,Total custodial admissions,4039
2021/2022,New Brunswick,Sentenced,1387
2021/2022,New Brunswick,Remand,2218
2021/2022,New Brunswick,Other custodial statuses,434
2021/2022,New Brunswick,Total community admissions,1691
2021/2022,New Brunswick,Probation and conditional sentences,1630
2021/2022,New Brunswick,Probation,1226
2021/2022,New Brunswick,Conditional sentence,404
2021/2022,New Brunswick,Other community programs,61
2021/2022,New Brunswick,Unknown community admissions,0
2021/2022,Quebec,Total custodial admissions,25182
2021/2022,Quebec,Sentenced,5859
2021/2022,Quebec,Remand,19322
2021/2022,Quebec,Other custodial statuses,1
2021/2022,Quebec,Total community admissions,18338
2021/2022,Quebec,Probation and conditional sentences,9105
2021/2022,Quebec,Probation,7737
2021/2022,Quebec,Conditional sentence,1368
2021/2022,Quebec,Other community programs,9233
2021/2022,Quebec,Unknown community admissions,0
2021/2022,Ontario,Total custodial admissions,55672
2021/2022,Ontario,Sentenced,9955
2021/2022,Ontario,Remand,30508
2021/2022,Ontario,Other custodial statuses,15209
2021/2022,Ontario,Total community admissions,28219
2021/2022,Ontario,Probation and conditional sentences,27997
2021/2022,Ontario,Probation,22145
2021/2022,Ontario,Conditional sentence,5852
2021/2022,Ontario,Other community programs,222
2021/2022,Ontario,Unknown community admissions,0
2021/2022,Manitoba,Total custodial admissions,11755
2021/2022,Manitoba,Sentenced,3938
2021/2022,Manitoba,Remand,7502
2021/2022,Manitoba,Other custodial statuses,315
2021/2022,Manitoba,Total community admissions,5756
2021/2022,Manitoba,Probation and conditional sentences,5177
2021/2022,Manitoba,Probation,4514
2021/2022,Manitoba,Conditional sentence,663
2021/2022,Manitoba,Other community programs,579
2021/2022,Manitoba,Unknown community admissions,0
2021/2022,Saskatchewan,Total custodial admissions,11773
2021/2022,Saskatchewan,Sentenced,3568
2021/2022,Saskatchewan,Remand,7903
2021/2022,Saskatchewan,Other custodial statuses,302
2021/2022,Saskatchewan,Total community admissions,9468
2021/2022,Saskatchewan,Probation and conditional sentences,5176
2021/2022,Saskatchewan,Probation,3886
2021/2022,Saskatchewan,Conditional sentence,1290
2021/2022,Saskatchewan,Other community programs,4292
2021/2022,Saskatchewan,Unknown community admissions,0
2021/2022,Alberta,Total custodial admissions,22424
2021/2022,Alberta,Sentenced,7577
2021/2022,Alberta,Remand,12895
2021/2022,Alberta,Other custodial statuses,1952
2021/2022,Alberta,Total community admissions,17947
2021/2022,Alberta,Probation and conditional sentences,6921
2021/2022,Alberta,Probation,5517
2021/2022,Alberta,Conditional sentence,1404
2021/2022,Alberta,Other community programs,11026
2021/2022,Alberta,Unknown community admissions,0
2021/2022,British Columbia,Total custodial admissions,12357
2021/2022,British Columbia,Sentenced,3816
2021/2022,British Columbia,Remand,7703
2021/2022,British Columbia,Other custodial statuses,838
2021/2022,British Columbia,Total community admissions,20331
2021/2022,British Columbia,Probation and conditional sentences,7170
2021/2022,British Columbia,Probation,5462
2021/2022,British Columbia,Conditional sentence,1708
2021/2022,British Columbia,Other community programs,13161
2021/2022,British Columbia,Unknown community admissions,0
2021/2022,Yukon,Total custodial admissions,325
2021/2022,Yukon,Sentenced,71
2021/2022,Yukon,Remand,249
2021/2022,Yukon,Other custodial statuses,5
2021/2022,Yukon,Total community admissions,904
2021/2022,Yukon,Probation and conditional sentences,252
2021/2022,Yukon,Probation,180
2021/2022,Yukon,Conditional sentence,72
2021/2022,Yukon,Other community programs,652
2021/2022,Yukon,Unknown community admissions,0
2021/2022,Northwest Territories,Total custodial admissions,453
2021/2022,Northwest Territories,Sentenced,117
2021/2022,Northwest Territories,Remand,336
2021/2022,Northwest Territories,Other custodial statuses,0
2021/2022,Northwest Territories,Total community admissions,552
2021/2022,Northwest Territories,Probation and conditional sentences,186
2021/2022,Northwest Territories,Probation,144
