REF_DATE,GEO,Custodial admissions,Age group,VALUE
2000/2001,Manitoba,"Total, custodial admissions",50 years and over,697
2000/2001,Manitoba,"Total, custodial admissions",Age unknown,0
2000/2001,Manitoba,Sentenced,"Total, custodial admissions by age group",2901
2000/2001,Manitoba,Sentenced,18 to 19 years,234
2000/2001,Manitoba,Sentenced,20 to 24 years,709
2000/2001,Manitoba,Sentenced,25 to 29 years,533
2000/2001,Manitoba,Sentenced,30 to 34 years,486
2000/2001,Manitoba,Sentenced,35 to 39 years,431
2000/2001,Manitoba,Sentenced,40 to 44 years,250
2000/2001,Manitoba,Sentenced,45 to 49 years,118
2000/2001,Manitoba,Sentenced,50 years and over,140
2000/2001,Manitoba,Sentenced,Age unknown,0
2000/2001,Manitoba,Sentenced,Median age on admission,29
2000/2001,Manitoba,Remand,"Total, custodial admissions by age group",6955
2000/2001,Manitoba,Remand,18 to 19 years,558
2000/2001,Manitoba,Remand,20 to 24 years,1719
2000/2001,Manitoba,Remand,25 to 29 years,1198
2000/2001,Manitoba,Remand,30 to 34 years,1172
2000/2001,Manitoba,Remand,35 to 39 years,1048
2000/2001,Manitoba,Remand,40 to 44 years,636
2000/2001,Manitoba,Remand,45 to 49 years,330
2000/2001,Manitoba,Remand,50 years and over,294
2000/2001,Manitoba,Remand,Age unknown,0
2000/2001,Manitoba,Remand,Median age on admission,30
2000/2001,Manitoba,Other custodial statuses,"Total, custodial admissions by age group",4924
2000/2001,Manitoba,Other custodial statuses,18 to 19 years,366
2000/2001,Manitoba,Other custodial statuses,20 to 24 years,1195
2000/2001,Manitoba,Other custodial statuses,25 to 29 years,805
2000/2001,Manitoba,Other custodial statuses,30 to 34 years,753
2000/2001,Manitoba,Other custodial statuses,35 to 39 years,773
2000/2001,Manitoba,Other custodial statuses,40 to 44 years,490
2000/2001,Manitoba,Other custodial statuses,45 to 49 years,279
2000/2001,Manitoba,Other custodial statuses,50 years and over,263
2000/2001,Manitoba,Other custodial statuses,Age unknown,0
2000/2001,Manitoba,Other custodial statuses,Median age on admission,30
2000/2001,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by age group",12989
