REF_DATE,GEO,Initial entry status,VALUE
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,3333
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,332
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,412
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,4634
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,4634
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
1999/2000,Manitoba,Total correctional services,2015
1999/2000,Manitoba,Pre-trial detention,1858
1999/2000,Manitoba,Secure custody,31
1999/2000,Manitoba,Custody and supervision (secure),
1999/2000,Manitoba,Young Offenders Act (YOA) (secure),
1999/2000,Manitoba,Open custody,126
1999/2000,Manitoba,Custody and supervision (open),
1999/2000,Manitoba,Young Offenders Act (YOA) (open),
1999/2000,Manitoba,Total community sentences,
1999/2000,Manitoba,Intensive support and supervision,
1999/2000,Manitoba,Deferred custody and supervision,
1999/2000,Manitoba,Supervised probation,
1999/2000,Manitoba,Other community sentences,
1999/2000,Saskatchewan,Total correctional services,
1999/2000,Saskatchewan,Pre-trial detention,
1999/2000,Saskatchewan,Secure custody,
1999/2000,Saskatchewan,Custody and supervision (secure),
1999/2000,Saskatchewan,Young Offenders Act (YOA) (secure),
1999/2000,Saskatchewan,Open custody,
1999/2000,Saskatchewan,Custody and supervision (open),
1999/2000,Saskatchewan,Young Offenders Act (YOA) (open),
1999/2000,Saskatchewan,Total community sentences,
1999/2000,Saskatchewan,Intensive support and supervision,
1999/2000,Saskatchewan,Deferred custody and supervision,
1999/2000,Saskatchewan,Supervised probation,
1999/2000,Saskatchewan,Other community sentences,
1999/2000,Alberta,Total correctional services,5276
1999/2000,Alberta,Pre-trial detention,1153
1999/2000,Alberta,Secure custody,160
1999/2000,Alberta,Custody and supervision (secure),
1999/2000,Alberta,Young Offenders Act (YOA) (secure),
1999/2000,Alberta,Open custody,103
1999/2000,Alberta,Custody and supervision (open),
1999/2000,Alberta,Young Offenders Act (YOA) (open),
1999/2000,Alberta,Total community sentences,3860
1999/2000,Alberta,Intensive support and supervision,
1999/2000,Alberta,Deferred custody and supervision,
1999/2000,Alberta,Supervised probation,1496
1999/2000,Alberta,Other community sentences,2364
1999/2000,British Columbia,Total correctional services,7058
1999/2000,British Columbia,Pre-trial detention,2377
1999/2000,British Columbia,Secure custody,649
1999/2000,British Columbia,Custody and supervision (secure),
1999/2000,British Columbia,Young Offenders Act (YOA) (secure),
1999/2000,British Columbia,Open custody,703
1999/2000,British Columbia,Custody and supervision (open),
1999/2000,British Columbia,Young Offenders Act (YOA) (open),
1999/2000,British Columbia,Total community sentences,3329
1999/2000,British Columbia,Intensive support and supervision,
1999/2000,British Columbia,Deferred custody and supervision,
1999/2000,British Columbia,Supervised probation,3329
1999/2000,British Columbia,Other community sentences,
1999/2000,Yukon,Total correctional services,96
1999/2000,Yukon,Pre-trial detention,34
1999/2000,Yukon,Secure custody,6
1999/2000,Yukon,Custody and supervision (secure),
1999/2000,Yukon,Young Offenders Act (YOA) (secure),
1999/2000,Yukon,Open custody,3
1999/2000,Yukon,Custody and supervision (open),
1999/2000,Yukon,Young Offenders Act (YOA) (open),
1999/2000,Yukon,Total community sentences,53
1999/2000,Yukon,Intensive support and supervision,
1999/2000,Yukon,Deferred custody and supervision,
1999/2000,Yukon,Supervised probation,50
1999/2000,Yukon,Other community sentences,3
1999/2000,Northwest Territories including Nunavut,Total correctional services,
1999/2000,Northwest Territories including Nunavut,Pre-trial detention,
1999/2000,Northwest Territories including Nunavut,Secure custody,
1999/2000,Northwest Territories including Nunavut,Custody and supervision (secure),
1999/2000,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
1999/2000,Northwest Territories including Nunavut,Open custody,
1999/2000,Northwest Territories including Nunavut,Custody and supervision (open),
1999/2000,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
1999/2000,Northwest Territories including Nunavut,Total community sentences,
1999/2000,Northwest Territories including Nunavut,Intensive support and supervision,
1999/2000,Northwest Territories including Nunavut,Deferred custody and supervision,
1999/2000,Northwest Territories including Nunavut,Supervised probation,
1999/2000,Northwest Territories including Nunavut,Other community sentences,
1999/2000,Northwest Territories,Total correctional services,356
1999/2000,Northwest Territories,Pre-trial detention,73
1999/2000,Northwest Territories,Secure custody,94
1999/2000,Northwest Territories,Custody and supervision (secure),
1999/2000,Northwest Territories,Young Offenders Act (YOA) (secure),
1999/2000,Northwest Territories,Open custody,189
1999/2000,Northwest Territories,Custody and supervision (open),
1999/2000,Northwest Territories,Young Offenders Act (YOA) (open),
1999/2000,Northwest Territories,Total community sentences,
1999/2000,Northwest Territories,Intensive support and supervision,
1999/2000,Northwest Territories,Deferred custody and supervision,
1999/2000,Northwest Territories,Supervised probation,
1999/2000,Northwest Territories,Other community sentences,
1999/2000,Nunavut,Total correctional services,
1999/2000,Nunavut,Pre-trial detention,
1999/2000,Nunavut,Secure custody,
1999/2000,Nunavut,Custody and supervision (secure),
1999/2000,Nunavut,Young Offenders Act (YOA) (secure),
1999/2000,Nunavut,Open custody,
1999/2000,Nunavut,Custody and supervision (open),
1999/2000,Nunavut,Young Offenders Act (YOA) (open),
1999/2000,Nunavut,Total community sentences,
1999/2000,Nunavut,Intensive support and supervision,
1999/2000,Nunavut,Deferred custody and supervision,
1999/2000,Nunavut,Supervised probation,
1999/2000,Nunavut,Other community sentences,
2000/2001,Provinces and territories,Total correctional services,37108
2000/2001,Provinces and territories,Pre-trial detention,9680
2000/2001,Provinces and territories,Secure custody,2233
2000/2001,Provinces and territories,Custody and supervision (secure),
2000/2001,Provinces and territories,Young Offenders Act (YOA) (secure),
2000/2001,Provinces and territories,Open custody,3099
2000/2001,Provinces and territories,Custody and supervision (open),
2000/2001,Provinces and territories,Young Offenders Act (YOA) (open),
2000/2001,Provinces and territories,Total community sentences,22096
2000/2001,Provinces and territories,Intensive support and supervision,
2000/2001,Provinces and territories,Deferred custody and supervision,
2000/2001,Provinces and territories,Supervised probation,19100
2000/2001,Provinces and territories,Other community sentences,2996
2000/2001,Newfoundland and Labrador,Total correctional services,718
2000/2001,Newfoundland and Labrador,Pre-trial detention,82
2000/2001,Newfoundland and Labrador,Secure custody,43
2000/2001,Newfoundland and Labrador,Custody and supervision (secure),
2000/2001,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2000/2001,Newfoundland and Labrador,Open custody,44
2000/2001,Newfoundland and Labrador,Custody and supervision (open),
2000/2001,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2000/2001,Newfoundland and Labrador,Total community sentences,549
2000/2001,Newfoundland and Labrador,Intensive support and supervision,
2000/2001,Newfoundland and Labrador,Deferred custody and supervision,
2000/2001,Newfoundland and Labrador,Supervised probation,475
2000/2001,Newfoundland and Labrador,Other community sentences,74
2000/2001,Prince Edward Island,Total correctional services,
2000/2001,Prince Edward Island,Pre-trial detention,
