REF_DATE,GEO,Initial entry status,VALUE
2000/2001,Ontario,Total correctional services,18139
2000/2001,Ontario,Pre-trial detention,3852
2000/2001,Ontario,Secure custody,1218
2000/2001,Ontario,Custody and supervision (secure),
2000/2001,Ontario,Young Offenders Act (YOA) (secure),
2000/2001,Ontario,Open custody,1759
2000/2001,Ontario,Custody and supervision (open),
2000/2001,Ontario,Young Offenders Act (YOA) (open),
2000/2001,Ontario,Total community sentences,11310
2000/2001,Ontario,Intensive support and supervision,
2000/2001,Ontario,Deferred custody and supervision,
2000/2001,Ontario,Supervised probation,11215
2000/2001,Ontario,Other community sentences,95
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,8582
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,919
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,1324
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,6339
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,6244
2000/2001,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,95
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,9557
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,3852
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,299
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,435
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,4971
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,4971
2000/2001,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
2000/2001,Manitoba,Total correctional services,3874
2000/2001,Manitoba,Pre-trial detention,2077
2000/2001,Manitoba,Secure custody,168
2000/2001,Manitoba,Custody and supervision (secure),
2000/2001,Manitoba,Young Offenders Act (YOA) (secure),
2000/2001,Manitoba,Open custody,310
2000/2001,Manitoba,Custody and supervision (open),
2000/2001,Manitoba,Young Offenders Act (YOA) (open),
2000/2001,Manitoba,Total community sentences,1319
2000/2001,Manitoba,Intensive support and supervision,
2000/2001,Manitoba,Deferred custody and supervision,
2000/2001,Manitoba,Supervised probation,1183
2000/2001,Manitoba,Other community sentences,136
2000/2001,Saskatchewan,Total correctional services,
2000/2001,Saskatchewan,Pre-trial detention,
2000/2001,Saskatchewan,Secure custody,
2000/2001,Saskatchewan,Custody and supervision (secure),
2000/2001,Saskatchewan,Young Offenders Act (YOA) (secure),
2000/2001,Saskatchewan,Open custody,
2000/2001,Saskatchewan,Custody and supervision (open),
2000/2001,Saskatchewan,Young Offenders Act (YOA) (open),
2000/2001,Saskatchewan,Total community sentences,
2000/2001,Saskatchewan,Intensive support and supervision,
2000/2001,Saskatchewan,Deferred custody and supervision,
2000/2001,Saskatchewan,Supervised probation,
2000/2001,Saskatchewan,Other community sentences,
2000/2001,Alberta,Total correctional services,5059
2000/2001,Alberta,Pre-trial detention,1152
2000/2001,Alberta,Secure custody,135
2000/2001,Alberta,Custody and supervision (secure),
2000/2001,Alberta,Young Offenders Act (YOA) (secure),
2000/2001,Alberta,Open custody,73
2000/2001,Alberta,Custody and supervision (open),
2000/2001,Alberta,Young Offenders Act (YOA) (open),
2000/2001,Alberta,Total community sentences,3699
2000/2001,Alberta,Intensive support and supervision,
2000/2001,Alberta,Deferred custody and supervision,
2000/2001,Alberta,Supervised probation,1571
2000/2001,Alberta,Other community sentences,2128
2000/2001,British Columbia,Total correctional services,6488
2000/2001,British Columbia,Pre-trial detention,1946
2000/2001,British Columbia,Secure custody,560
2000/2001,British Columbia,Custody and supervision (secure),
2000/2001,British Columbia,Young Offenders Act (YOA) (secure),
2000/2001,British Columbia,Open custody,649
2000/2001,British Columbia,Custody and supervision (open),
2000/2001,British Columbia,Young Offenders Act (YOA) (open),
2000/2001,British Columbia,Total community sentences,3333
2000/2001,British Columbia,Intensive support and supervision,
2000/2001,British Columbia,Deferred custody and supervision,
2000/2001,British Columbia,Supervised probation,3333
2000/2001,British Columbia,Other community sentences,
2000/2001,Yukon,Total correctional services,71
2000/2001,Yukon,Pre-trial detention,24
2000/2001,Yukon,Secure custody,2
2000/2001,Yukon,Custody and supervision (secure),
2000/2001,Yukon,Young Offenders Act (YOA) (secure),
2000/2001,Yukon,Open custody,1
2000/2001,Yukon,Custody and supervision (open),
2000/2001,Yukon,Young Offenders Act (YOA) (open),
2000/2001,Yukon,Total community sentences,44
2000/2001,Yukon,Intensive support and supervision,
2000/2001,Yukon,Deferred custody and supervision,
2000/2001,Yukon,Supervised probation,33
2000/2001,Yukon,Other community sentences,11
2000/2001,Northwest Territories including Nunavut,Total correctional services,
2000/2001,Northwest Territories including Nunavut,Pre-trial detention,
2000/2001,Northwest Territories including Nunavut,Secure custody,
2000/2001,Northwest Territories including Nunavut,Custody and supervision (secure),
2000/2001,Northwest Territories including Nunavut,Young Offenders Act (YOA) (secure),
2000/2001,Northwest Territories including Nunavut,Open custody,
2000/2001,Northwest Territories including Nunavut,Custody and supervision (open),
2000/2001,Northwest Territories including Nunavut,Young Offenders Act (YOA) (open),
2000/2001,Northwest Territories including Nunavut,Total community sentences,
2000/2001,Northwest Territories including Nunavut,Intensive support and supervision,
2000/2001,Northwest Territories including Nunavut,Deferred custody and supervision,
2000/2001,Northwest Territories including Nunavut,Supervised probation,
2000/2001,Northwest Territories including Nunavut,Other community sentences,
2000/2001,Northwest Territories,Total correctional services,245
2000/2001,Northwest Territories,Pre-trial detention,39
2000/2001,Northwest Territories,Secure custody,96
2000/2001,Northwest Territories,Custody and supervision (secure),
2000/2001,Northwest Territories,Young Offenders Act (YOA) (secure),
2000/2001,Northwest Territories,Open custody,110
2000/2001,Northwest Territories,Custody and supervision (open),
2000/2001,Northwest Territories,Young Offenders Act (YOA) (open),
2000/2001,Northwest Territories,Total community sentences,
2000/2001,Northwest Territories,Intensive support and supervision,
2000/2001,Northwest Territories,Deferred custody and supervision,
2000/2001,Northwest Territories,Supervised probation,
2000/2001,Northwest Territories,Other community sentences,
2000/2001,Nunavut,Total correctional services,
2000/2001,Nunavut,Pre-trial detention,
2000/2001,Nunavut,Secure custody,
2000/2001,Nunavut,Custody and supervision (secure),
2000/2001,Nunavut,Young Offenders Act (YOA) (secure),
2000/2001,Nunavut,Open custody,
2000/2001,Nunavut,Custody and supervision (open),
2000/2001,Nunavut,Young Offenders Act (YOA) (open),
2000/2001,Nunavut,Total community sentences,
2000/2001,Nunavut,Intensive support and supervision,
2000/2001,Nunavut,Deferred custody and supervision,
2000/2001,Nunavut,Supervised probation,
2000/2001,Nunavut,Other community sentences,
2001/2002,Provinces and territories,Total correctional services,35420
2001/2002,Provinces and territories,Pre-trial detention,8330
2001/2002,Provinces and territories,Secure custody,1915
2001/2002,Provinces and territories,Custody and supervision (secure),5
2001/2002,Provinces and territories,Young Offenders Act (YOA) (secure),
2001/2002,Provinces and territories,Open custody,2398
2001/2002,Provinces and territories,Custody and supervision (open),4
2001/2002,Provinces and territories,Young Offenders Act (YOA) (open),
2001/2002,Provinces and territories,Total community sentences,22777
2001/2002,Provinces and territories,Intensive support and supervision,
2001/2002,Provinces and territories,Deferred custody and supervision,
2001/2002,Provinces and territories,Supervised probation,16657
2001/2002,Provinces and territories,Other community sentences,6120
2001/2002,Newfoundland and Labrador,Total correctional services,668
2001/2002,Newfoundland and Labrador,Pre-trial detention,89
2001/2002,Newfoundland and Labrador,Secure custody,26
2001/2002,Newfoundland and Labrador,Custody and supervision (secure),
2001/2002,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
2001/2002,Newfoundland and Labrador,Open custody,29
2001/2002,Newfoundland and Labrador,Custody and supervision (open),
2001/2002,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
2001/2002,Newfoundland and Labrador,Total community sentences,524
2001/2002,Newfoundland and Labrador,Intensive support and supervision,
2001/2002,Newfoundland and Labrador,Deferred custody and supervision,
2001/2002,Newfoundland and Labrador,Supervised probation,469
2001/2002,Newfoundland and Labrador,Other community sentences,55
2001/2002,Prince Edward Island,Total correctional services,144
2001/2002,Prince Edward Island,Pre-trial detention,
2001/2002,Prince Edward Island,Secure custody,
2001/2002,Prince Edward Island,Custody and supervision (secure),
2001/2002,Prince Edward Island,Young Offenders Act (YOA) (secure),
2001/2002,Prince Edward Island,Open custody,
2001/2002,Prince Edward Island,Custody and supervision (open),
2001/2002,Prince Edward Island,Young Offenders Act (YOA) (open),
2001/2002,Prince Edward Island,Total community sentences,144
2001/2002,Prince Edward Island,Intensive support and supervision,
2001/2002,Prince Edward Island,Deferred custody and supervision,
2001/2002,Prince Edward Island,Supervised probation,134
2001/2002,Prince Edward Island,Other community sentences,10
2001/2002,Nova Scotia,Total correctional services,2319
2001/2002,Nova Scotia,Pre-trial detention,555
2001/2002,Nova Scotia,Secure custody,5
2001/2002,Nova Scotia,Custody and supervision (secure),
2001/2002,Nova Scotia,Young Offenders Act (YOA) (secure),
2001/2002,Nova Scotia,Open custody,145
2001/2002,Nova Scotia,Custody and supervision (open),
2001/2002,Nova Scotia,Young Offenders Act (YOA) (open),
2001/2002,Nova Scotia,Total community sentences,1614
2001/2002,Nova Scotia,Intensive support and supervision,
2001/2002,Nova Scotia,Deferred custody and supervision,
2001/2002,Nova Scotia,Supervised probation,1152
2001/2002,Nova Scotia,Other community sentences,462
2001/2002,New Brunswick,Total correctional services,
2001/2002,New Brunswick,Pre-trial detention,
2001/2002,New Brunswick,Secure custody,
2001/2002,New Brunswick,Custody and supervision (secure),
2001/2002,New Brunswick,Young Offenders Act (YOA) (secure),
2001/2002,New Brunswick,Open custody,
2001/2002,New Brunswick,Custody and supervision (open),
2001/2002,New Brunswick,Young Offenders Act (YOA) (open),
2001/2002,New Brunswick,Total community sentences,
2001/2002,New Brunswick,Intensive support and supervision,
2001/2002,New Brunswick,Deferred custody and supervision,
2001/2002,New Brunswick,Supervised probation,
2001/2002,New Brunswick,Other community sentences,
2001/2002,Quebec,Total correctional services,
2001/2002,Quebec,Pre-trial detention,
2001/2002,Quebec,Secure custody,
2001/2002,Quebec,Custody and supervision (secure),
2001/2002,Quebec,Young Offenders Act (YOA) (secure),
2001/2002,Quebec,Open custody,
2001/2002,Quebec,Custody and supervision (open),
2001/2002,Quebec,Young Offenders Act (YOA) (open),
2001/2002,Quebec,Total community sentences,
2001/2002,Quebec,Intensive support and supervision,
2001/2002,Quebec,Deferred custody and supervision,
2001/2002,Quebec,Supervised probation,
2001/2002,Quebec,Other community sentences,
2001/2002,Ontario,Total correctional services,14508
2001/2002,Ontario,Pre-trial detention,3218
2001/2002,Ontario,Secure custody,1079
2001/2002,Ontario,Custody and supervision (secure),
2001/2002,Ontario,Young Offenders Act (YOA) (secure),
2001/2002,Ontario,Open custody,1284
2001/2002,Ontario,Custody and supervision (open),
2001/2002,Ontario,Young Offenders Act (YOA) (open),
2001/2002,Ontario,Total community sentences,8927
