REF_DATE,GEO,DGUID,Custodial and community supervision,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Northwest Territories,2016A000261,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164255,13.4,1.4,,,,1
2012/2013,Northwest Territories,2016A000261,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164256,13.5,1.4,,,,1
2012/2013,Northwest Territories,2016A000261,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164257,13.6,14.44,,,,2
2012/2013,Northwest Territories,2016A000261,Total community supervision count,Persons,249,units,0,v44182202,13.7,51.8,,,,1
2012/2013,Northwest Territories,2016A000261,"Probation, community supervision",Persons,249,units,0,v44182203,13.8,49,,,,1
2012/2013,Northwest Territories,2016A000261,"Community portion of custody sentence, community supervision",Persons,249,units,0,v44182204,13.9,2.2,,,,1
2012/2013,Northwest Territories,2016A000261,"Deferred custody, community supervision",Persons,249,units,0,v44182205,13.1,0.7,,,,1
2012/2013,Northwest Territories,2016A000261,"Intensive support and supervision, community supervision",Persons,249,units,0,v44182206,13.11,0,,,,1
2012/2013,Northwest Territories,2016A000261,"Probation rate per 10,000 young persons",Rate,257,units,0,v44182207,13.12,135.77,,,,2
2012/2013,Nunavut,2016A000262,Total actual-in count,Persons,249,units,0,v32164258,14.1,6.2,,,,1
2012/2013,Nunavut,2016A000262,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164259,14.2,4.1,,,,1
2012/2013,Nunavut,2016A000262,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164260,14.3,3,,,,1
2012/2013,Nunavut,2016A000262,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164261,14.4,1.1,,,,1
2012/2013,Nunavut,2016A000262,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164262,14.5,2.1,,,,1
2012/2013,Nunavut,2016A000262,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164263,14.6,16.05,,,,2
2012/2013,Nunavut,2016A000262,Total community supervision count,Persons,249,units,0,v32164264,14.7,44.2,,,,1
2012/2013,Nunavut,2016A000262,"Probation, community supervision",Persons,249,units,0,v32164265,14.8,44.2,,,,1
2012/2013,Nunavut,2016A000262,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164266,14.9,0,,,,1
2012/2013,Nunavut,2016A000262,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164267,14.12,114.99,,,,2
2013/2014,Provinces and Territories,2016A000011124,Total actual-in count,Persons,249,units,0,v65927052,15.1,1019.1,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Total sentenced custody, actual-in count",Persons,249,units,0,v65927053,15.2,480.6,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Sentenced secure custody, actual-in count",Persons,249,units,0,v65927054,15.3,236.2,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Sentenced open custody, actual-in count",Persons,249,units,0,v65927055,15.4,244.4,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v65927056,15.5,508.7,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v65927057,15.6,6.34,,,,2
2013/2014,Provinces and Territories,2016A000011124,Total community supervision count,Persons,249,units,0,v65927058,15.7,8513.7,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Probation, community supervision",Persons,249,units,0,v65927059,15.8,7678.3,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Community portion of custody sentence, community supervision",Persons,249,units,0,v65927060,15.9,317.2,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Deferred custody, community supervision",Persons,249,units,0,v65927061,15.1,207.7,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Intensive support and supervision, community supervision",Persons,249,units,0,v65927062,15.11,310.6,,,,1
2013/2014,Provinces and Territories,2016A000011124,"Probation rate per 10,000 young persons",Rate,257,units,0,v65927063,15.12,51.31,,,,2
2013/2014,Newfoundland and Labrador,2016A000210,Total actual-in count,Persons,249,units,0,v32164121,1.1,18,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164122,1.2,14.2,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164123,1.3,7.8,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164124,1.4,6.4,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164125,1.5,3.5,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164126,1.6,5.44,,,,2
2013/2014,Newfoundland and Labrador,2016A000210,Total community supervision count,Persons,249,units,0,v32164127,1.7,257.8,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Probation, community supervision",Persons,249,units,0,v32164128,1.8,216.6,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164129,1.9,37.8,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Deferred custody, community supervision",Persons,249,units,0,v32164130,1.1,3.5,,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Intensive support and supervision, community supervision",Persons,249,units,0,v32164131,1.11,,..,,,1
2013/2014,Newfoundland and Labrador,2016A000210,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164132,1.12,65.6,,,,2
2013/2014,Prince Edward Island,2016A000211,Total actual-in count,Persons,249,units,0,v32164133,2.1,5.4,,,,1
2013/2014,Prince Edward Island,2016A000211,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164134,2.2,4.6,,,,1
2013/2014,Prince Edward Island,2016A000211,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164135,2.3,1.9,,,,1
2013/2014,Prince Edward Island,2016A000211,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164136,2.4,2.8,,,,1
2013/2014,Prince Edward Island,2016A000211,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164137,2.5,0.8,,,,1
2013/2014,Prince Edward Island,2016A000211,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164138,2.6,5.24,,,,2
2013/2014,Prince Edward Island,2016A000211,Total community supervision count,Persons,249,units,0,v32164139,2.7,122.3,,,,1
2013/2014,Prince Edward Island,2016A000211,"Probation, community supervision",Persons,249,units,0,v32164140,2.8,115.6,,,,1
2013/2014,Prince Edward Island,2016A000211,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164141,2.9,6.5,,,,1
2013/2014,Prince Edward Island,2016A000211,"Deferred custody, community supervision",Persons,249,units,0,v32164142,2.1,0.3,,,,1
