REF_DATE,GEO,DGUID,Admissions and releases,Correctional services,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Ontario,2016A000235,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v32445750,7.1.9,,..,,t,0
2012/2013,Ontario,2016A000235,Youth admissions,Total community sentences,Number,223,units,0,v32445751,7.1.10,6099,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v32445752,7.1.11,946,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Intensive support and supervision,Number,223,units,0,v32445753,7.1.12,13,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445754,7.1.13,356,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Supervised probation,Number,223,units,0,v32445755,7.1.14,4426,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Other community sentences,Number,223,units,0,v32445756,7.1.15,358,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Total correctional services,Number,223,units,0,v32445757,7.2.1,12520,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Pre-trial detention,Number,223,units,0,v32445758,7.2.2,4547,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Provincial director remand,Number,223,units,0,v43732559,7.2.3,,..,,,0
2012/2013,Ontario,2016A000235,Youth releases,Secure custody,Number,223,units,0,v32445759,7.2.4,482,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445760,7.2.5,,..,,t,0
2012/2013,Ontario,2016A000235,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445761,7.2.6,,..,,t,0
2012/2013,Ontario,2016A000235,Youth releases,Open custody,Number,223,units,0,v32445762,7.2.7,480,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Custody and supervision (open),Number,223,units,0,v32445763,7.2.8,,..,,t,0
2012/2013,Ontario,2016A000235,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445764,7.2.9,,..,,t,0
2012/2013,Ontario,2016A000235,Youth releases,Total community sentences,Number,223,units,0,v32445765,7.2.10,7011,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v32445766,7.2.11,926,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Intensive support and supervision,Number,223,units,0,v32445767,7.2.12,21,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Deferred custody and supervision,Number,223,units,0,v32445768,7.2.13,388,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Supervised probation,Number,223,units,0,v32445769,7.2.14,5190,,,,0
2012/2013,Ontario,2016A000235,Youth releases,Other community sentences,Number,223,units,0,v32445770,7.2.15,486,,,,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Total correctional services,Number,223,units,0,v32445771,8.1.1,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Pre-trial detention,Number,223,units,0,v41444272,8.1.2,,..,,t,0
