REF_DATE,GEO,DGUID,Initial entry status,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Nunavut,2016A000262,Young Offenders Act (YOA) (open),Number,223,units,0,v43735735,17.8,,..,,t,0
2012/2013,Nunavut,2016A000262,Total community sentences,Number,223,units,0,v43735736,17.9,49,,,,0
2012/2013,Nunavut,2016A000262,Intensive support and supervision,Number,223,units,0,v43735737,17.1,,..,,,0
2012/2013,Nunavut,2016A000262,Deferred custody and supervision,Number,223,units,0,v43735738,17.11,,..,,,0
2012/2013,Nunavut,2016A000262,Supervised probation,Number,223,units,0,v43735739,17.12,41,,,,0
2012/2013,Nunavut,2016A000262,Other community sentences,Number,223,units,0,v43735740,17.13,8,,,,0
2013/2014,Provinces and territories,2016A000011124,Total correctional services,Number,223,units,0,v32445374,1.1,6530,,,,0
2013/2014,Provinces and territories,2016A000011124,Pre-trial detention,Number,223,units,0,v32445375,1.2,1738,,,,0
2013/2014,Provinces and territories,2016A000011124,Secure custody,Number,223,units,0,v32445376,1.3,44,,,,0
2013/2014,Provinces and territories,2016A000011124,Custody and supervision (secure),Number,223,units,0,v32445377,1.4,,..,,t,0
2013/2014,Provinces and territories,2016A000011124,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445378,1.5,,..,,t,0
2013/2014,Provinces and territories,2016A000011124,Open custody,Number,223,units,0,v32445379,1.6,60,,,,0
2013/2014,Provinces and territories,2016A000011124,Custody and supervision (open),Number,223,units,0,v32445380,1.7,,..,,t,0
2013/2014,Provinces and territories,2016A000011124,Young Offenders Act (YOA) (open),Number,223,units,0,v32445381,1.8,,..,,t,0
2013/2014,Provinces and territories,2016A000011124,Total community sentences,Number,223,units,0,v32445382,1.9,4688,,,,0
2013/2014,Provinces and territories,2016A000011124,Intensive support and supervision,Number,223,units,0,v32445383,1.1,17,,,,0
2013/2014,Provinces and territories,2016A000011124,Deferred custody and supervision,Number,223,units,0,v32445384,1.11,75,,,,0
2013/2014,Provinces and territories,2016A000011124,Supervised probation,Number,223,units,0,v32445385,1.12,3334,,,,0
2013/2014,Provinces and territories,2016A000011124,Other community sentences,Number,223,units,0,v32445386,1.13,1262,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Total correctional services,Number,223,units,0,v32445387,2.1,136,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Pre-trial detention,Number,223,units,0,v32860958,2.2,7,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Secure custody,Number,223,units,0,v32445388,2.3,2,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Custody and supervision (secure),Number,223,units,0,v32445389,2.4,,..,,t,0
2013/2014,Newfoundland and Labrador,2016A000210,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445390,2.5,,..,,t,0
2013/2014,Newfoundland and Labrador,2016A000210,Open custody,Number,223,units,0,v32445391,2.6,4,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Custody and supervision (open),Number,223,units,0,v32445392,2.7,,..,,t,0
2013/2014,Newfoundland and Labrador,2016A000210,Young Offenders Act (YOA) (open),Number,223,units,0,v32445393,2.8,,..,,t,0
2013/2014,Newfoundland and Labrador,2016A000210,Total community sentences,Number,223,units,0,v32445394,2.9,123,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Intensive support and supervision,Number,223,units,0,v41443607,2.1,0,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Deferred custody and supervision,Number,223,units,0,v32445395,2.11,2,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Supervised probation,Number,223,units,0,v32445396,2.12,117,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,Other community sentences,Number,223,units,0,v32445397,2.13,4,,,,0
2013/2014,Prince Edward Island,2016A000211,Total correctional services,Number,223,units,0,v32445398,3.1,41,,,,0
2013/2014,Prince Edward Island,2016A000211,Pre-trial detention,Number,223,units,0,v32860959,3.2,17,,,,0
2013/2014,Prince Edward Island,2016A000211,Secure custody,Number,223,units,0,v32445399,3.3,10,,,,0
2013/2014,Prince Edward Island,2016A000211,Custody and supervision (secure),Number,223,units,0,v62731156,3.4,,..,,t,0
2013/2014,Prince Edward Island,2016A000211,Young Offenders Act (YOA) (secure),Number,223,units,0,v79960430,3.5,,..,,t,0
2013/2014,Prince Edward Island,2016A000211,Open custody,Number,223,units,0,v32445400,3.6,14,,,,0
